keyword;post_text;author;date;time;timestamp;likes;comments;shares;post_id;owner_id;attachments;Ссылка
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу;Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍;Группа 125866183;18.07.2025;20:20;1752834017;18;0;1;516454;-125866183;photo;https://vk.com/wall-125866183_516454
